id;color;dog_breed;long_tail;has_leash;coordinates
1;grey;THX microchip Coordinator;false;true;interactive Ball Handcrafted
2;plum;Tuna Cambridgeshire Licensed;false;false;eyeballs Dirham transmitter
3;white;24/7 solution-oriented;false;false;up
4;fuchsia;invoice;true;true;Persistent
5;ivory;orchid SCSI Ports;true;true;transition
6;orchid;Buckinghamshire;false;false;mission-critical Intuitive Account
7;purple;Som African;true;true;coherent
8;fuchsia;Pataca;false;false;invoice e-services methodology
9;salmon;Missouri;false;true;Unbranded Industrial Brooks
10;gold;Advanced;true;true;COM Movies
