id;external_id;has_dog;file_path;street_address;camera_id;date_of_shoot
1;productize;true;Corporate;Yen;methodologies grow matrix;2021-10-19
2;Indiana Vermont;true;hacking Buckinghamshire Dynamic;Avenue up Steel;interface auxiliary;2021-10-20
3;program;true;navigating Island Savings;Toys transmit;Buckinghamshire;2021-10-20
4;Moldovan Belize array;true;face Kansas;Krone composite;Customer New;2021-10-19
5;synthesizing;true;Pants Intelligent;Checking Switchable application;Applications Account overriding;2021-10-19
6;eco-centric Sausages;true;Home Clothing Global;experiences Dalasi;SCSI;2021-10-19
7;Extended;true;Hawaii navigating;Hat Pound index;Cambridgeshire;2021-10-20
8;Shirt Unit hacking;false;Expanded Borders viral;generation;primary Cambridgeshire defect;2021-10-20
9;Research;true;ADP Concrete;technologies;Luxembourg Corporate;2021-10-20
10;Direct transmitting Customer;true;1080p;Dollar protocol;front-end Forward;2021-10-20
